interaction_id	a_alias	b_alias	a_id	b_id
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q15334	701547	11793525
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	P01893	701547	14006675
701614	O75469-4	NP_005004	639929	10013563
701850	P13611	P16070-19	2252361	3739030
701911	Q9P253	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	131074	701911
701911	Q92622	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	184136	701911
701911	Q14457	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	517184	701911
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	Q99570	701911	1406752
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	Q96AX1	701911	1622643
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	Q8NEB9	701911	4021969
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	Q9P2Y5	701911	4177872
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	Q8WUH2	701911	5265235
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	P18433	701911	5369851
702398	P35568	P05129	3143545	4200947
702645	Q13263	XP_005246873	163267	1004542
703124	P14780	P17931	221385	606956
704632	Q08116	Q8TD16	381022	707837
704774	XP_005260042	O43665-2	821803	5153774
704781	O60488	Q96RL7	634957	2071494
706393	P42224	Q53G26	1004542	4727611
706516	Q99570	Q9BXW4	1406752	4523522
707048	P03120	P17676	168633	3962824
707348	P01106	P17676	1368998	3962824
707534	P32455	P49356	3714020	5007082
708514	O43566	B3KX51	2698076	3047661
708611	P42680	P08575	1818616	3093536
708712	P48304	P46379-2	762804	2054502
709471	P21860	A6ZID6	3231405	14007084
709799	O75376-2	P17676	899063	3962824
709863	Q86WC4	Q9UGC6	415758	3910613
709924	P35568	O15524	3143545	4992485
710233	Q9BQ83	P04083	2255265	3719914
711645	P26447	P25815	590396	4764357
711949	F1D8P8	P42224-2	781714	1004542
711962	complex:999o5zFX47tErk9zG6K6jxbh+Mk	P56524	711962	1734411
711962	complex:999o5zFX47tErk9zG6K6jxbh+Mk	P41182	711962	2559145
711962	complex:999o5zFX47tErk9zG6K6jxbh+Mk	B0LPI0	711962	3876203
711962	complex:999o5zFX47tErk9zG6K6jxbh+Mk	Q9ULU4	711962	5135943
711962	complex:999o5zFX47tErk9zG6K6jxbh+Mk	Q9Y618	711962	10013539
712085	P40189-2	Q04724	190090	3082885
712349	Q12824	P17676	2067078	3962824
712693	P50281	P00748	4802061	9442795
713328	O60603	Q8IUC6	735309	3740798
713652	P40189-2	P05231	190090	730638
713950	P16885	Q13094	1561215	2970254
714444	O14924	P05556	836513	1979966
714989	P29466-4	P46934-3	1923050	14007162
715773	P40189-2	P15498	190090	1274382
716006	Q08116	O75821	381022	5190372
716426	P17676	Q04206-4	3962824	4629164
716690	Q13094	O15117	2970254	9378664
716804	O15111	P35568	1960612	3143545
716810	P03956	P08123	1902383	4584046
717104	P40189-2	P27986	190090	3503650
717290	O60488	Q8IVV7	634957	3442245
